10
 5  3  7.70E-01
 6  3  1.27E-01
 6  8  1.80E+11
14 17  1.57E-01
15 17  1.23E+06
15 18  2.19E+06
16 19  5.05E-03
17 19  9.49E+12
18 21  8.48E+09
20 20  9.46E+28
